                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.466,                 1.5557,                 1.0753,                0.60954,                0.67291,                0.66884,                0.41381,                 1.4246,                 1.4367,                   1.08,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.4602,                 1.5224,                 1.0928,                0.50183,                0.69401,                0.64033,                 0.3993,                 1.4031,                 1.5281,                 1.0757,             0.00024757,             0.00024757,             0.00024757
                      3,                 1.4644,                  1.536,                  1.106,                0.54699,                0.64846,                 0.6196,                0.37395,                  1.449,                 1.4494,                 1.0983,             0.00037582,             0.00037582,             0.00037582
                      4,                  1.471,                 1.5608,                 1.1032,                0.57767,                0.70021,                0.65691,                 0.4148,                 1.3766,                 1.5546,                 1.0959,             0.00050142,             0.00050142,             0.00050142
                      5,                 1.5044,                 1.6134,                 1.0758,                0.65375,                0.70959,                0.68359,                0.42522,                 1.3722,                 1.6388,                  1.087,             0.00062438,             0.00062438,             0.00062438
                      6,                 1.5875,                  1.554,                 1.1132,                0.56458,                0.65678,                0.64231,                0.37716,                 1.5226,                 1.4595,                 1.1192,             0.00074471,             0.00074471,             0.00074471
                      7,                 1.5543,                 1.5606,                 1.0752,                0.46018,                0.58459,                  0.439,                0.28043,                 1.4487,                 1.9899,                 1.0961,             0.00086239,             0.00086239,             0.00086239
                      8,                 1.5285,                 1.5253,                 1.0815,                0.43087,                0.77033,                0.49707,                0.27474,                 1.4257,                 1.6052,                 1.0913,             0.00097743,             0.00097743,             0.00097743
                      9,                 1.6149,                 1.5398,                 1.1161,                0.44416,                0.82692,                0.64923,                 0.3798,                 1.4353,                 1.6626,                 1.0889,              0.0010898,              0.0010898,              0.0010898
                     10,                 1.5479,                  1.548,                 1.1082,                0.68894,                 0.6874,                 0.7126,                0.42247,                 1.4488,                 1.3591,                 1.0945,              0.0011996,              0.0011996,              0.0011996
                     11,                 1.5872,                 1.5142,                 1.0907,                0.55367,                0.75711,                0.69144,                0.28949,                 1.9115,                 1.6672,                 1.2358,              0.0013067,              0.0013067,              0.0013067
                     12,                 1.5898,                 1.5176,                 1.1094,                0.63644,                0.60886,                0.67745,                0.41415,                 1.3811,                  1.301,                  1.069,              0.0014112,              0.0014112,              0.0014112
                     13,                 1.4492,                 1.3959,                  1.035,                0.46017,                0.77003,                0.64257,                0.37916,                 1.4602,                 1.4628,                 1.1149,               0.001469,               0.001469,               0.001469
                     14,                 1.4654,                 1.4776,                 1.0857,                0.53506,                0.68559,                 0.6429,                0.33539,                 1.6264,                 1.4707,                 1.1492,               0.001469,               0.001469,               0.001469
                     15,                 1.4327,                 1.4035,                 1.0729,                0.59894,                0.70894,                0.67102,                  0.427,                 1.4219,                 1.2836,                 1.0745,              0.0014525,              0.0014525,              0.0014525
                     16,                   1.44,                 1.3915,                 1.0578,                0.70789,                0.73132,                0.75806,                0.47718,                 1.3569,                 1.2156,                 1.0479,               0.001436,               0.001436,               0.001436
                     17,                 1.4314,                 1.3675,                 1.0618,                0.70924,                 0.7248,                 0.7766,                0.52577,                 1.2781,                 1.2002,                 1.0336,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.3703,                 1.3079,                 1.0622,                0.70026,                0.79525,                0.79054,                0.52262,                 1.2829,                 1.2121,                 1.0298,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.4795,                 1.3159,                 1.0787,                0.65164,                0.71141,                0.75616,                0.48249,                 1.3735,                 1.3752,                 1.0566,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.3807,                 1.2998,                 1.0395,                0.63921,                0.31466,                0.61171,                0.37564,                 1.4026,                 2.1542,                 1.1462,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.3377,                 1.2842,                 1.0345,                0.67492,                0.75151,                0.77132,                0.48937,                 1.3332,                 1.2257,                 1.0537,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.4248,                 1.2299,                 1.0531,                0.71205,                0.78439,                0.79321,                0.51421,                   1.32,                 1.1235,                 1.0266,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.3896,                 1.2544,                 1.0357,                 0.5812,                0.70737,                0.76333,                0.45582,                 1.3641,                 1.3246,                 1.0526,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.4339,                 1.1682,                 1.0393,                0.49628,                0.75156,                0.69774,                0.40931,                 1.3384,                 1.3885,                 1.0546,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.4355,                 1.1974,                 1.0626,                0.63211,                0.62127,                0.67511,                0.36448,                 1.5012,                 1.5277,                 1.1092,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.3875,                 1.1784,                 1.0109,                0.49816,                0.69456,                0.60331,                0.37188,                 1.3596,                 1.6834,                 1.0821,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.3714,                 1.1062,                 1.0087,                0.53277,                0.69872,                0.64202,                 0.3809,                 1.3436,                 1.4758,                 1.0666,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.3706,                 1.1078,                 1.0226,                0.72453,                0.70894,                0.76357,                 0.5067,                 1.2436,                 1.0934,                  1.018,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.2727,                 1.1054,                 1.0248,                0.72249,                0.79197,                0.82681,                0.55103,                 1.2425,                 1.0346,                 1.0078,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.2949,                 1.0979,                 1.0001,                0.64924,                0.80114,                0.82263,                0.54064,                 1.2737,                 1.0653,                 1.0174,              0.0012049,              0.0012049,              0.0012049
                     31,                  1.338,                 1.1219,                 1.0276,                0.66248,                0.75242,                0.77911,                0.47817,                 1.4036,                 1.1473,                 1.0591,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.4407,                 1.1007,                 1.0551,                  0.695,                0.66609,                0.71907,                0.47129,                  1.338,                  1.587,                 1.0878,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.3795,                 1.0621,                 1.0267,                0.67615,                0.75202,                0.80871,                0.51491,                 1.3565,                 1.1137,                 1.0364,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.3515,                 1.0598,                  1.012,                0.73696,                0.76735,                0.82501,                0.52139,                 1.3423,                  1.039,                 1.0243,              0.0011389,              0.0011389,              0.0011389
                     35,                  1.421,                 1.0621,                 1.0356,                 0.5173,                0.79782,                0.77918,                0.53603,                 1.1977,                 1.2611,                0.99301,              0.0011224,              0.0011224,              0.0011224
                     36,                   1.35,                 1.0909,                 1.0454,                0.84778,                 0.7091,                0.85385,                0.53246,                 1.4351,                 0.9886,                 1.0579,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.4567,                 1.1201,                 1.0405,                0.80346,                0.75542,                0.82831,                 0.5641,                 1.2605,                 1.0106,                 1.0243,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.3276,                0.99383,                 1.0233,                0.73083,                0.67305,                0.73358,                0.43985,                 1.5559,                  1.441,                 1.1425,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.3327,                 1.0106,                0.99402,                0.73902,                0.59149,                0.69831,                0.43865,                  1.513,                 1.7119,                 1.1598,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.4067,                  1.025,                 1.0064,                0.85667,                0.74445,                0.86391,                 0.5883,                 1.2414,                0.90142,                 1.0024,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.2691,                0.98838,                 1.0006,                0.87543,                0.76024,                0.86316,                0.58987,                 1.2339,                0.93408,                 1.0013,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.3492,                 1.0607,                0.98346,                0.77724,                0.76705,                0.85398,                0.59674,                 1.1388,                0.97754,                0.98096,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.2969,                0.99059,                 1.0274,                0.83173,                0.76846,                0.85477,                0.56016,                 1.3279,                 0.9435,                 1.0237,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.3002,                  1.003,                 1.0083,                0.88903,                0.74122,                0.86746,                0.60533,                 1.1804,                 0.8571,                 0.9934,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2686,                 0.9422,                 1.0005,                0.64041,                0.84442,                0.84716,                0.59657,                 1.1371,                0.97927,                0.98062,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2865,                0.94632,                 1.0032,                0.80364,                0.79711,                0.85901,                0.52354,                 1.4088,                0.97359,                 1.0734,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.3304,                 1.0309,                 1.0161,                0.83233,                0.79459,                0.86652,                0.60532,                 1.2058,                 1.0069,                 1.0343,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2997,                0.97061,                 1.0298,                0.85936,                0.77512,                0.85448,                0.57486,                 1.2602,                 1.1329,                 1.0505,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2934,                0.96757,                 1.0062,                0.77226,                0.72569,                0.80786,                0.53192,                 1.3157,                 1.3283,                 1.0797,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.3123,                0.96638,                 1.0121,                 0.8426,                 0.7519,                0.84555,                0.57968,                  1.202,                0.94237,                 1.0134,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.2119,                 0.8653,                0.97004,                0.83706,                0.82204,                0.85723,                0.60142,                 1.1314,                 0.8388,                0.98118,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.1854,                0.89472,                0.95342,                0.86969,                 0.8184,                0.88079,                0.62103,                 1.1264,                0.81181,                0.97813,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2592,                0.94305,                 1.0107,                0.86061,                0.82355,                0.87864,                0.60825,                 1.1494,                0.89266,                0.99274,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.2502,                0.97227,                 0.9804,                0.84981,                0.81578,                0.88859,                0.62349,                 1.1088,                0.81416,                0.97734,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.2422,                0.94628,                 1.0003,                0.88479,                0.81795,                0.89582,                0.61609,                 1.1753,                0.80967,                0.99604,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2278,                0.90158,                0.97476,                0.82785,                0.83847,                  0.878,                0.61526,                 1.1481,                0.92901,                0.99383,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.2946,                0.93472,                0.98217,                 0.8663,                0.79162,                0.88611,                0.63814,                 1.0967,                0.80454,                0.96507,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.2104,                0.89054,                0.98591,                0.85977,                0.79262,                 0.8718,                0.57602,                 1.2248,                0.85206,                 1.0002,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.2357,                0.89898,                0.97437,                0.83335,                0.83491,                0.87428,                0.61176,                 1.1182,                 0.8482,                0.97193,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.2056,                0.92003,                 0.9908,                0.89726,                0.82414,                0.89897,                0.64973,                 1.1118,                0.79256,                0.95962,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.2321,                0.90929,                 1.0035,                0.94003,                0.77124,                0.89811,                0.64357,                 1.1059,                0.76861,                0.96576,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.2008,                0.84582,                0.97668,                0.85666,                0.83709,                0.88878,                0.64008,                 1.0626,                0.78561,                0.96883,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1487,                0.86858,                0.97688,                0.79975,                0.80258,                0.84849,                0.61007,                 1.1223,                 0.9844,                 1.0033,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.1997,                0.90485,                0.99976,                0.81306,                0.73895,                0.82519,                0.58507,                 1.2025,                 1.2583,                 1.0386,              0.0006438,              0.0006438,              0.0006438
                     65,                  1.186,                0.84002,                 0.9773,                0.83421,                0.80461,                0.85938,                0.60452,                 1.0943,                 1.0034,                 1.0042,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1806,                0.88454,                0.98853,                0.90297,                0.81597,                0.89885,                0.66179,                 1.0459,                0.78366,                0.96309,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1933,                0.83682,                 0.9842,                0.89294,                0.80013,                0.88425,                0.63101,                 1.1515,                0.86324,                0.98979,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.2244,                0.88779,                0.97073,                0.80607,                0.79461,                0.88274,                0.62427,                 1.0758,                0.85627,                0.96103,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1972,                0.82719,                0.95403,                0.82811,                0.80576,                0.88726,                0.62043,                 1.1141,                0.81247,                0.95934,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.1661,                0.80971,                 0.9759,                0.85592,                0.85129,                0.90514,                0.61016,                 1.1805,                0.76148,                0.97187,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1272,                0.79659,                0.95608,                0.87137,                0.84251,                 0.9048,                 0.6641,                  1.027,                0.73861,                0.93965,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1785,                0.83494,                0.97458,                0.81983,                0.76049,                0.87748,                0.63083,                  1.056,                0.81556,                0.95143,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1684,                0.78617,                0.96967,                0.84971,                0.85573,                0.89894,                0.63189,                 1.0969,                0.74379,                0.96212,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.1618,                0.79182,                0.94874,                0.87494,                0.86077,                 0.9115,                0.67459,                 1.0134,                0.70853,                0.94272,             0.00047876,             0.00047876,             0.00047876
                     75,                  1.095,                0.81771,                0.94686,                0.86153,                0.85702,                0.91367,                0.67728,                  1.003,                0.69479,                0.93786,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.1502,                0.77184,                0.95837,                0.88937,                0.82778,                0.90961,                0.67356,                 1.0053,                0.69747,                0.93912,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.1256,                0.81635,                0.95745,                0.87473,                0.85155,                0.91563,                0.67978,                0.98953,                0.69176,                0.94431,             0.00042925,             0.00042925,             0.00042925
                     78,                  1.075,                0.76002,                0.95483,                0.88923,                0.86883,                0.92171,                0.68073,                 1.0064,                0.71731,                0.95869,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.1069,                0.78182,                0.95086,                0.87904,                0.86469,                0.91972,                 0.6783,                0.97721,                0.70501,                0.94311,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.1534,                0.75257,                0.98576,                0.86773,                0.86163,                0.91993,                0.66098,                 1.0444,                0.69492,                0.94955,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.1427,                0.79633,                0.97469,                0.85393,                0.82461,                0.91372,                0.67305,                 1.0129,                0.72226,                0.93142,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.1212,                0.78846,                 0.9514,                0.87705,                0.74768,                0.90826,                0.67652,                0.99928,                0.77124,                0.92936,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.0957,                0.75061,                0.95204,                0.85405,                0.87199,                0.91651,                0.67338,                 1.0014,                 0.7031,                0.93796,             0.00033023,             0.00033023,             0.00033023
                     84,                  1.099,                0.78908,                0.95127,                0.85993,                0.89408,                0.91583,                0.65796,                 1.0423,                0.69943,                0.94984,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0706,                 0.7241,                0.93797,                0.86359,                0.86879,                0.91232,                 0.6614,                 1.0334,                 0.6781,                0.93602,             0.00029723,             0.00029723,             0.00029723
